7
9
   $   (   )   *   +   -   /   NUM   ^   
E  -1  1  -1  -1  -1  -1  -1  1  -1  
E'  4  -1  4  -1  2  3  -1  -1  -1  
T  -1  5  -1  -1  -1  -1  -1  5  -1  
T'  8  -1  8  6  8  8  7  -1  -1  
P  -1  9  -1  -1  -1  -1  -1  9  -1  
P'  11  -1  11  11  11  11  11  -1  10  
F  -1  12  -1  -1  -1  -1  -1  13  -1  
$ -2  -1  -1  -1  -1  -1  -1  -1  -1  
( -1  0  -1  -1  -1  -1  -1  -1  -1  
) -1  -1  0  -1  -1  -1  -1  -1  -1  
* -1  -1  -1  0  -1  -1  -1  -1  -1  
+ -1  -1  -1  -1  0  -1  -1  -1  -1  
- -1  -1  -1  -1  -1  0  -1  -1  -1  
/ -1  -1  -1  -1  -1  -1  0  -1  -1  
NUM -1  -1  -1  -1  -1  -1  -1  0  -1  
^ -1  -1  -1  -1  -1  -1  -1  -1  0  
